System,Subject,Category,Item,Year,No. of Cases
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Physical abuse,2005-12-31/12/31,413
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Neglect,2005-12-31/12/31,41
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Sexual abuse,2005-12-31/12/31,234
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Psychological abuse,2005-12-31/12/31,23
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Multiple abuse,2005-12-31/12/31,52
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Female,2005-12-31/12/31,462
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Male,2005-12-31/12/31,301
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Parent,2005-12-31/12/31,454
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Sibling ,2005-12-31/12/31,24
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Step-parent,2005-12-31/12/31,12
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Grandparent,2005-12-31/12/31,36
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Relative,2005-12-31/12/31,21
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Friend,2005-12-31/12/31,35
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Parent of peer,2005-12-31/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Caregiver,2005-12-31/12/31,20
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Teacher,2005-12-31/12/31,3
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,School teacher / personnel,2005-12-31/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Staff of boarding section of school,2005-12-31/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Tutor / Coach,2005-12-31/12/31,12
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Religious personnel,2005-12-31/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Schoolmate / friend / peer,2005-12-31/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Co-tenant / Neighbour,2005-12-31/12/31,16
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Inmate of residential service,2005-12-31/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unrelated person (including strangers) ,2005-12-31/12/31,81
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified Person / Others,2005-12-31/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified person,2005-12-31/12/31,0
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Other,2005/12/31,
