System,Subject,Category,Item,Year,No. of Cases
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Physical violence,2005,3023
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Sexual violence,2005,8
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Psychological abuse,2005,351
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Multiple violence,2005,216
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Sex of Victim,Female,2005,3153
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Sex of Victim,Male,2005,445
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Husband,2005,2879
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Wife,2005,405
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Male Cohabitant,2005,128
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Female Cohabitant,2005,14
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Estranged husband / ex-husband,2005,81
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Estranged wife / ex-wife,2005,9
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Boyfriend,2005,67
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Girlfriend,2005,15
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Heterosexual cohabitant,2005,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Same-sex cohabitant,2005,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Heterosexual ex-cohabitant,2005,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Same-sex ex-cohabitant,2005,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Central & Western,2005,83
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Southern,2005,74
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Island,2005,60
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Eastern,2005,236
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Wan Chai,2005,70
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Kowloon City,2005,169
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Yau Tsim Mong,2005,144
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Sham Shui Po,2005,172
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Wong Tai Sin,2005,161
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Sai Kung,2005,157
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Kwun Tong,2005,316
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Shatin,2005,172
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Tai Po,2005,172
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,North,2005,160
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Yuen Long,2005,581
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Tsuen Wan,2005,214
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Kwai Tsing,2005,270
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Tuen Mun,2005,345
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Outside Hong Kong/Unknown,2005,42
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Rape/Unlawful Sexual Intercourse,2005,104
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Indecent assault,2005,447
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Forced masturbation,2005,3
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Forced oral sex,2005,1
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Unlawful Buggery,2005,2
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Others,2005,16
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Multiple Abuse,2005,16
CISSCBSV,Newly Reported Sexual Violence Cases,Sex of Victim,Female,2005,585
CISSCBSV,Newly Reported Sexual Violence Cases,Sex of Victim,Male,2005,4
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Parent/child/sibling/in-laws,2005,13
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Parent,2005,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Child,2005,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Sibling,2005,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,In-law,2005,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Other relative,2005,15
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Heterosexual lover,2005,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Same-sex lover,2005,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Heterosexual ex-lover,2005,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Same-sex ex-lover,2005,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Friend,2005,84
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Caregiver (Non-relative),2005,3
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Employer / employee / colleague,2005,56
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Teacher / tutor,2005,4
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Stranger,2005,376
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Others,2005,31
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Unknown,2005,7
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Central & Western,2005,37
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Southern,2005,16
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Island,2005,10
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Eastern,2005,32
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Wan Chai,2005,26
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Kowloon City,2005,28
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Yau Tsim Mong,2005,86
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Sham Shui Po,2005,28
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Wong Tai Sin,2005,29
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Sai Kung,2005,6
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Kwun Tong,2005,34
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Shatin,2005,30
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Tai Po,2005,23
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,North,2005,24
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Yuen Long,2005,32
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Tsuen Wan,2005,44
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Kwai Tsing,2005,35
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Tuen Mun,2005,39
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Outside Hong Kong/Unknown,2005,
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Outside Hong Kong ,2005,12
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Unknown,2005,18
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Physical violence,2006,3602
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Sexual violence,2006,11
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Psychological abuse,2006,609
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Multiple violence,2006,202
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Sex of Victim,Female,2006,3749
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Sex of Victim,Male,2006,675
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Husband,2006,3232
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Wife,2006,558
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Male Cohabitant,2006,246
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Female Cohabitant,2006,47
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Estranged husband / ex-husband,2006,102
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Estranged wife / ex-wife,2006,23
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Boyfriend,2006,192
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Girlfriend,2006,24
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Heterosexual cohabitant,2006,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Same-sex cohabitant,2006,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Heterosexual ex-cohabitant,2006,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Same-sex ex-cohabitant,2006,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Central & Western,2006,111
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Southern,2006,108
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Island,2006,81
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Eastern,2006,331
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Wan Chai,2006,65
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Kowloon City,2006,212
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Yau Tsim Mong,2006,147
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Sham Shui Po,2006,356
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Wong Tai Sin,2006,222
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Sai Kung,2006,191
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Kwun Tong,2006,401
